Nama_hotel;User_Rating;Review;
Hotel Neo Denpasar by ASTON;9.1;Semuanya bagus, staffs sangat membantu. Check in check out mudah dan cepat.;
Hotel Neo Denpasar by ASTON;8.5;resepsionis nya ramah, kamar bersih AC dingin cuma kurang kedap suara aja. kamar mandi bersih;
Hotel Neo Denpasar by ASTON;9.1;over all hotelnya nyaman..makanan variatif dan lokasi strategis. sewa 6 kamar untuk acara pertunangan semua tamu nyaman;
Hotel Neo Denpasar by ASTON;8.1;Kamarnya oke dan nyaman, meskipun saya bisa mendengar orang-orang berbicara dari kamar sebelah. Selain itu, kamar ini hanya memiliki pemandangan kamar depan saat saya menginap. Gang menuju kamar agak berdebu dan gelap. Namun, semua layanannya bagus.;
Hotel Neo Denpasar by ASTON;6;"kamarnya bersih tapi sayang ada kecoanya. dan minta smoking room si kasih non smoking. bukan masalah kamar saya di up ke tipe kamar deluxe tapi saya mintanya smoking room""";
Hotel Neo Denpasar by ASTON;10;Staf yang ramah, membantu, dan hangat. Kamarnya nyaman dari segi desain dan akomodasi. Saya menikmati menu dan menikmati minimarket di lantai pertama saat sudah terlambat untuk memesan dari restoran.;
Hotel Neo Denpasar by ASTON;8.5;Staff hotel sangat ramah dan membantu saat check in, parkiran luas, lift tersedia, kuliner dekat, kamar luas dan penuh penerangan, tersedia air minum;
Hotel Neo Denpasar by ASTON;10;Pasti ingin kembali lagi! Pilihan kedua setelah Aston sudah penuh, dengan pengalaman yang sama.;
Hotel Neo Denpasar by ASTON;8.8;Stafnya sangat ramah. Lokasinya dekat dengan jalan utama dan aksesnya mudah.;
Hotel Neo Denpasar by ASTON;10;berada di tengah kota, akses mudah kemana2 dan staff ramah👍🏻;
Hotel Neo Denpasar by ASTON;8.8;Wah, awalnya saya kira hotel ini dari penampakannya seperti tempat terbengkalai, ternyata kamarnya bagus dan cukup nyaman.;
Hotel Neo Denpasar by ASTON;10;staff dan repsesionis sangat ramah dan baik ;
Hotel Neo Denpasar by ASTON;10;saya pesan ini untuk keluarga saya, dan mereka menyukainya, terima kasih ;
Hotel Neo Denpasar by ASTON;10;"staf hotel ramah dan helpful, harga terjangkau, lokasi"" bagus. recommended utk ajak keluarga menginap.";
Hotel Neo Denpasar by ASTON;8.7;"lokasi sangat strategis sekali. sebelah hotel ada minimart 24 jam , ada salon rudi dan ada tempat ngopi espresso. cuma pertama datang tidak dibantuin bawa koper karena tidak ada satpam yg jaga, harus nyari parkir sendiri tanpa diarahkan.. yg lain b aja sesuai harga. makanan jg gak banyak pilihan. cuma untuk lokasi strategis""";
Hotel Neo Denpasar by ASTON;10;Keren banget. Recommended untuk liburan.;
Aston Denpasar Hotel & Convention Center;9.7;Dapat kamar upgrade, keren sekali. Sayang dapat di pojok jadi jalannya terlalu jauh.;
Aston Denpasar Hotel & Convention Center;10;2 malam menginap disini, stafnya ramah2 banget, kamar ku di upgrade yg fam room gila luas banget, tv yg di ruang tamu juga uda smart tv, air minum pake dispenser, ac dingin banget, sayangnya minim cermin dan sabun ga di reffil;
Aston Denpasar Hotel & Convention Center;9.4;Staff hotel ramah, pelayanan oke, makanan nya juga enak;
Aston Denpasar Hotel & Convention Center;8.5;pengalaman yang kurang baik adalah adanya waktu ceck in tidak sesuai dengan keinginan , karena reseptionist menyatakan kamar tidak ada namun belum konfirmasi ke bagian hostpitality, kesannya reseptionist kalah pamor dengan hospitality padahal wajahnya hotel itu salah satunya adalah resepsionist sebaiknya ada role of game untuk hal ini. tamu sering kecewa kadang sudah jam 15 belum ada kamar . kalo tamu ceck in duluan tidak boleh dengan alasan jam 14 baru boleh sebaiknya nggak kaku seperti itu kalo datang lebih awal dan ada kamar kososng mestinya lanhgsung di berikan saja ini membuat tamu akan lebih senang karena merasa di layani dan difasilitasi;
Aston Denpasar Hotel & Convention Center;10;Sangat baik pelayanan semua staff. Sebagai saran, menu breakfast-nya lebih variatif lagi.;
Aston Denpasar Hotel & Convention Center;10;Semuanya sangat bagus, staff hotel ramah dan kamarnya bersih jadi betah buat stay di sini.;
Aston Denpasar Hotel & Convention Center;8.3;Makanan kurang bervariasi untuk ukuran hotel 4 bintang, tidak sesuai namun rasanya enak. Saat terjadi pemadaman listrik oleh PLN, genset tidak segera berfungsi dan beberapa kali mati. Staf cleaner dan staf di frontliner ditanyakan tidak bisa memberikan info yang baik.;
Aston Denpasar Hotel & Convention Center;10;Staff hotel ramah, dan pelayanannya memuaskan. A nyaman dan aman untuk mengajak balita menginap.;
Aston Denpasar Hotel & Convention Center;8.8;Staff-nya ramah, diantar sampai kamar.;
Aston Denpasar Hotel & Convention Center;8.2;Oke, kalau Anda banyak beraktivitas di Denpasar, area parkirnya agak gelap dan baunya kurang sedap. Tapi secara keseluruhan, hotel ini oke.;
Aston Denpasar Hotel & Convention Center;10;nice bgt sih dengan harga segini sekelas Aston..dan Aston sih emang gak usah di ragukan lg..TOP BGT deh...;
Aston Denpasar Hotel & Convention Center;10;"menginap di aston tidak perlu diragukan lagi mengenai kebersihan, luas kamar, kenyamanan dan rasa makanannya. thebest👍🏻""";
Aston Denpasar Hotel & Convention Center;10;Nice hotel, enjoy trip to Bali. Lokasi strategis.;
Aston Denpasar Hotel & Convention Center;8.2;"saat cek in melampsui batas jam ceck in lewat satu jam dan fron office tidak berusaha ko firmasi ke house keeping . apakah mensegeraka. atau spt apa. selayaknya tidak boleh tidak menyiapkan ..sesuai waktu bahkan harus siap sebelum waktunya. jadi harus diperhstikan jrn tamu itu dayang cape""";
Aston Denpasar Hotel & Convention Center;8.8;hotel nyaman ditengah kota jauh dari kemacetan dan kamar nya luas cocok buat keluarga 👌;
Aston Denpasar Hotel & Convention Center;10;"ada tempat kolam renang anak kecil, sejauh ini bagus sekali""";
Aston Denpasar Hotel & Convention Center;10;"Sudah 6 tahun, selama ada liburan panjang, saya menginap di hotel Aston. Sangat nyaman, pelayanan cepat. Makanan juga bervariatif dan enak.""";
Aston Denpasar Hotel & Convention Center;10;"pengalaman menginap di pulau untuk orang dewasa yang menyenangkan, semuanya bermutu tinggi. Kalau ke Bali pasti balik lagi kesini""";
Aston Denpasar Hotel & Convention Center;10;"cocok untuk event kantor, roomnya nyaman dan bersih""";
Aston Denpasar Hotel & Convention Center;9.7;"Sangat menyenangkan & pelayanan yg sangat baik""";
Quest San Hotel Denpasar by ASTON;8.5;Hotel perlu meningkatkan sarapannya.;
Quest San Hotel Denpasar by ASTON;9.3;Staff hotel sangat ramah, cincin saya tertinggal di kamar tidak hilang dan dikembalikan ke saya.;
Quest San Hotel Denpasar by ASTON;9.1;"sgt rekomen, Krn dekat kmn2 staf ramah dan fasilitas lumayan lengkap""";
Quest San Hotel Denpasar by ASTON;9.1;Proses check in dan check out sangat cepat.;
Quest San Hotel Denpasar by ASTON;10;staff Rama, kamar bersih sekali, kamar mandi bersih, parkirannya luas sekali, restonya bersih, kolam renangnya bersih;
Quest San Hotel Denpasar by ASTON;10;Selalu puas tiap nginap di sini, semuanya bagus, bersih, pelayanan baik, makanan enak, nyaman sekali.;
Quest San Hotel Denpasar by ASTON;9.6;ckup enak...dket kemna2.tuk makanan direstoran biasa aja.sarapan pagi...ckup enak;
Quest San Hotel Denpasar by ASTON;9.7;Karyawannya Ramah dan Follow up Glitch Wifi dengan baik, Terima Kasih;
Quest San Hotel Denpasar by ASTON;9.4;Terima kasih banyak karena permintaan saya dapat diakomodir serta sudah di-upgrade type room-nya. Pertahankan pelayanan yang sangat baik tersebut.;
Quest San Hotel Denpasar by ASTON;8.5;Staff ramah, gercep, baik dan sopan..Fasilitas ok,.menu makanan utk BF bervariatif. Makanan jg enak, next pasti kesini lg. Makasih ya🫰🫰;
Quest San Hotel Denpasar by ASTON;9.7;Free upgrade kamar, kamar besar dan bersih.;
Quest San Hotel Denpasar by ASTON;8.6;Secara umum, fasilitas hotel dan pelayanannya sudah baik. Namun, ada dua poin yang menjadi perhatian saya sebagai tamu: 1. Tidak tersedia Air Conditioner dari mulai lobby hingga selasar menuju ke kamar. Entah karena AC sedang maintenance atau memang tidak tersedia AC untuk lokasi tersebut. Ini membuat saya tetap kepanasan ketika berjalan dari luar menuju ke dalam hotel. 2. Kebersihan kamar yang kurang, terbukti dengan masih terdapat satu botol kosmetik kosong di bawah meja. Tidak sempat saya foto karena langsung saya buang, namun tentu dapat menjadi atensi pihak hotel agar meningkatkan pelayanan kebersihannya. Selain dua poin di atas, menjadikan Quest Hotel by Aston sebagai tempat singgah selama saya di Bali adalah keputusan yang tepat. Akses yang mudah, area parkir yang memadai, serta keramahan para staff hotelnya sangat menyanjung untuk saya. Semoga di kesempatan selanjutnya sudah ada peningkatan layanan agar menjadi tempat pilihan saya di Bali.;
Quest San Hotel Denpasar by ASTON;9.7;Recommended untuk menginap kembali di hotel ini.;
Quest San Hotel Denpasar by ASTON;10;Senang sekali bisa menginap di hotel ini. Stafnya ramah-ramah.Kamar luas, bersih dan nyaman. Menu breakfast jg variatif dan enak.Pasti akan kembali lg kesini untuk menginap.;
Quest San Hotel Denpasar by ASTON;10;Staff hotel sangat membantu. Tiba di Denpasar masih pagi benar. Bisa check in pukul 10.00. Pelayanan secara keseluruhan sangat memuaskan. Next akan menginap di Quest San Denpasar lagi.;
Quest San Hotel Denpasar by ASTON;10;sangat menyenangkan dan anak2 suka, semua staff ramah dan sigap, kamar luas bersih;
Quest San Hotel Denpasar by ASTON;9.7;Hotel yang recommended untuk staycation di Bali.;
Quest San Hotel Denpasar by ASTON;10;Makanan lumayan enak dan ganti-ganti setiap harinya. Kolam renang bersih. Kamar dan kamar mandi bersih.;
Quest San Hotel Denpasar by ASTON;9.7;Masukan dari saya mungkin next nya : 1. Menu Breakfast bisa dibuat lebih variatif lagi dan apabila sudah habis mohon untuk segera di Refill kembali. 2. Saya paham, mungkin kemarin saat Nyepi agak sedikit kewalahan karena sepertinya membludak intensitas yg menginap. Tapi alangkah baiknya ada penambahan staff di bagian dapur/ beberapa orang yang sering mengecek untuk makanan2 yg sudah habis. 3. Mohon dibantu jg dibagian Omelet & Sosis. Karena terbagi 2 jobnya dengan membuat Mie Instant jg, jadi saat membuat Omelet agak keteteran. Semoga kedepannya semakin Maju, semakin Sukses, dan semakin Berinovasi lebih lagi untuk Quest San Hotel Denpasar. God Bless;
Quest San Hotel Denpasar by ASTON;9.7;Udah 2 kali nginep di Quest san hotel, setiap suami pulang dari luar negeri pasti nginepnya disini sebelum bsoknya pulang k buleleng. makanannya juga enak, tempatnya nyaman bersih ;
HARRIS Hotel and Conventions Denpasar Bali;9.1;Hotel ini kebetulan sangat dekat dengan pusat kota, yang terdapat beberapa perkantoran dan pemda, dimana tempat saya bekerja bila sedang di Bali. Kamarnya berfasilitas memadai untuk bekerja dan beristirahat.;
HARRIS Hotel and Conventions Denpasar Bali;8.5;Harris Denpasar ini kolam renangnya bersih dan ringan kaporit,sarapannya super enak dan variatif,kamar bersih dan dekat pasar jadi bisa belajar budaya orang Bali sedikit menyenangkan kapan ke Bali pasti kesini lagi.;
HARRIS Hotel and Conventions Denpasar Bali;10;Kamar bersih dan luas, varian sarapan banyak dan enak, tersedia sofa bed nyaman buat keluarga, kamar mandi bersih dan tersedia kelengkapan sabun dan lain-lain. Recommended.;
HARRIS Hotel and Conventions Denpasar Bali;8.8;Kamarnya bersih dan nyaman, pelayanannya memuaskan dari resepsionis sampai breakfast-nya.;
HARRIS Hotel and Conventions Denpasar Bali;8.5;Bagus, bersih, nyaman, fasilitas lengkap.;
HARRIS Hotel and Conventions Denpasar Bali;9.4;fasilitas kamar bagus dan bersih  ada hairdryer nya ,air panas jg berfungsi pelayanan baik,parkir luas..;
HARRIS Hotel and Conventions Denpasar Bali;8.5;Hotelnya bagus, dekat dengan beberapa pertokoan. Tempat yang nyaman dekat dengan kota.;
HARRIS Hotel and Conventions Denpasar Bali;9.7;Cuman tidak ada air di dalam kamarnya, di sediakan isi ulang di luar.;
HARRIS Hotel and Conventions Denpasar Bali;8.5;Overall bagus dan bersih banget, cuma di parkiran kayak horor banget.;
HARRIS Hotel and Conventions Denpasar Bali;10;Suka banget nginep di Hotel Harris. Air minum tak terbatas, kamar bersih, AC dingin, kamar modern baru, bantal memory foam, dan makanan breakfast enak-enak.;
HARRIS Hotel and Conventions Denpasar Bali;10;Proses check in cepat dan pelayanannya ramah.;
HARRIS Hotel and Conventions Denpasar Bali;8.8;Saya sudah beberapa kali menginap di hotel Harris di Bali, dan tempat ini di Jalan Cokrominoto, istimewa, bukan hanya karena lokasinya yang strategis, tetapi semua stafnya ramah dan membantu. Saya juga suka bagaimana mereka mencoba mendekorasi kamar dengan tanaman hijau agar tamu merasa seperti di rumah. ;
HARRIS Hotel and Conventions Denpasar Bali;8.2;"hanya menginap sebentar karena banyak kegiatan di luar. tidak memesan makanan dan sarapan di sana. kamarnya nyaman dan dilengkapi dengan fasilitas lengkap.""";
HARRIS Hotel and Conventions Denpasar Bali;8.5;Staff ramah, ada kids club-nya, kamar luas.;
HARRIS Hotel and Conventions Denpasar Bali;10;pelayanan baik, tempat nyaman dan bersih;
HARRIS Hotel and Conventions Denpasar Bali;6.5;AC sangat panas tapi kamar lumayan luas sih dengan harga segitu tapi tolong AC-nya;
HARRIS Hotel and Conventions Denpasar Bali;10;Lokasi tidak jauh dari kota, tempat nyaman dan tidak berisik. Kamar luas dan bersih.;
HARRIS Hotel and Conventions Denpasar Bali;10;Sempurna untuk liburan keluarga. Semuanya bersih, dan keramahannya luar biasa.;
HARRIS Hotel and Conventions Denpasar Bali;9.4;Check in and check out super cepat! Staff sangat ramah dan selalu menyapa! Kamar bersih dan rapi.;
HARRIS Hotel and Conventions Denpasar Bali;8.2;Hotel bersih, luas, nyaman, amenities lengkap.;
HARRIS Hotel and Conventions Denpasar Bali;8.5;Pelayanan ramah, kamar bersih dan luas.;
HARRIS Hotel and Conventions Denpasar Bali;9.4;Hotel paling nyaman selama 5 malam saya di bali;
HARRIS Hotel and Conventions Denpasar Bali;8.8;Kamarnya bersih, yang merupakan hal terpenting bagi saya. Stafnya sangat ramah. Sayangnya, kali ini saya tidak mencoba sarapan. Namun, dari pengalaman saya sebelumnya menginap di hotel ini, sarapannya lumayan.;
HARRIS Hotel and Conventions Denpasar Bali;9.6;Secara keseluruhan bagus untuk perjalanan bisnis;
HARRIS Hotel and Conventions Denpasar Bali;6;Hotel lama, stafnya sangat ramah dan sopan, kamarnya bersih tetapi perlu direnovasi, terutama kamar mandinya. Ada bau ketika saya memasuki kamar. Fasilitas kamar mandi kurang, tetapi bersih. Handuknya sudah usang, beruban, dan tipis. Kamar-kamarnya perlu direnovasi secara besar-besaran.;
Amaris Teuku Umar Denpasar;8.5;Pegawai sangat ramah, pelayanannya baik, AC dingin, air panasnya berfungsi, kamar bersih juga kamar mandinya dan dekat dengan kuliner serta di depan hotel ada halte bis listrik untuk tujuan ke bandara.;
Amaris Teuku Umar Denpasar;8.5;Kamarnya bersih, pelayannya bagus dan ramah.;
Amaris Teuku Umar Denpasar;8.5;Tempatnya strategis, kamar bersih.;
Amaris Teuku Umar Denpasar;9.4;Suasananya tenang, enak banget buat istirahat, recommended deh pokoknya amaris teuku umar. pelayanan staffnya ramah. Kamarnya bersih amenities setiap hari diganti. overall good service.;
Amaris Teuku Umar Denpasar;8.5;Lokasinya strategis. Hotelnya nyaman dan bersih. Air panas dan ac nya berfungsi dengan baik. Recommended.;
Amaris Teuku Umar Denpasar;10;Hotelnya sangat strategis. Kemana-mana dekat.;
Amaris Teuku Umar Denpasar;10;lokasi yang sangat strategis,kamar bersih dan nyaman. menu makan pagi yang beragam dan enak. yang paling penting semua staff sangat ramah.;
Amaris Teuku Umar Denpasar;8.8;Semuanya bagus:) Tempat bagus, strategis, staf bagus, kamar bagus.;
Amaris Teuku Umar Denpasar;6.4;"lantai kotor, kamar bau apek ac, kurang dingin""";
Amaris Teuku Umar Denpasar;8.8;Akses mudah ke pusat belanja terdekat, kuliner dan transportasi. Kamar minimalis cukup untuk bermalam perjalanan dinas dalam waktu singkat.;
Amaris Teuku Umar Denpasar;9.4;lokasi sangat strategis di pusat kota denpasar, check in/out sangat ok staff ramah, ukuran kamar emang agak kecil tapi cukuplah.. sarapan cukup lengkap.;
Amaris Teuku Umar Denpasar;10;Staf hotel dan receptionis ramah.;
Amaris Teuku Umar Denpasar;8.5;Staff sangat membantu proses check in, kamar bersih, ranjang cukup nyaman. Lokasi dekat dengan kota, mudah dicari;
Amaris Teuku Umar Denpasar;8.5;Kamar cukup bersih, lokasi di kota dan mudah ditemukan, sarapan okey;
Amaris Teuku Umar Denpasar;10;Semua oke. Hanya saya wifi yang lelet banget. Tapi itu tidak masalah;
Amaris Teuku Umar Denpasar;10;Karena saking seringnya tinggal di Amaris serasa tinggal di rumah sendiri;
Amaris Teuku Umar Denpasar;8.8;kamar sesuai harga. staff ramah dan membantu banget. ;
Amaris Teuku Umar Denpasar;8.4;Kamar mandi nya agak pengap jadi kemarin menginap tu untuk fan kamar mandinya tidak berfungsi.;
Amaris Teuku Umar Denpasar;9.7;Overall baik, cuman sayang ac yang di 116 entah kenapa tidak begitu dingin. Tolong ke depannya di cek detail AC nya dan pastikan dingin sebelum di huni guest, terima kasih.;
Amaris Teuku Umar Denpasar;9.3;Secara keseluruhan bagus, satu hal yang kurang saat saya menginap adalah pancuran, di kamar mandi 221, sakelar keran antara pancuran dan keran agak sulit, saya sudah bicara dengan resepsionis dan mereka bilang akan segera memperbaikinya setelah 4 hari menginap, sakelar keran belum diperbaiki tetapi layanan secara keseluruhan bagus;
Amaris Teuku Umar Denpasar;8.7;staf ramah, tapi karena menginapnya di malam tahun baru jadi suara di luar kamar kedengeran rame banget. overall oke;
Amaris Teuku Umar Denpasar;9.7;Murah tapi berkelas. Lokasi strategis. Menunya lumayan. Tapi perlu di tambahkan makanan penutup;
Amaris Teuku Umar Denpasar;6.9;Sediakan coffee set dong, dan breakfast lengkapi karena saya sarapan set 8 udah ada kosong-kosong hrusnya reffil;
Amaris Teuku Umar Denpasar;9.7;Sejauh ini saya puas dengan hotelnya. Minusnya cuma wifi yg gbsa connect ke hp saya jadi pakai paket data. Untungnya jaringan telkomsel bagus soalnya saya sambil kerja juga. Ada balkonnya juga bisa untuk merokok;
Amaris Teuku Umar Denpasar;10;Penginapan yang mengagumkan di pusat kota.;
Azana Boutique Hotel Denpasar;9.4;Staff hotel ramah, cuma kurang di kamar mandi yang selalu banjir, sepertinya karena ada yang bocor.;
Azana Boutique Hotel Denpasar;8.8;"Plus : Proses ci & co cepat & all staf ramah; Tq hotel krn  memperhatikan notes; Sprei, selimut, bantal putih bersih tanpa nota. Utk handuk putih jg & ckup tebal, tp syg ada nota kuning yg sdh lama sprtinya ga hilang, saran aja ga ush diberikan ke cust ya; Pesen makanan di mlm hari  lumayan sedep rasanya; Sarapan ckup lumayan dgn harga hotel segitu di bali. Perlu ditingkatkan : Dari ci smp co ga ada satpam yg bantu proses parkir mobil di halaman; Kebersihan kamar sgt perlu ditingkatkan, byk semut merah di kmr, di meja, di lantai & di meja nakas; Kebersihan lantai area tempat mandi jg sgt perlu ditingkatkan; CS agar lebih sergep lg membersihksn lt kmr & kmr mandi, sudut2 cepitan di lantai perlu di sidak oleh supervisor  krn dsitu byk debu tebel nempel atau serpihan, dll.";
Azana Boutique Hotel Denpasar;8.5;secara keseluruhan sudah bagus, akses hotel sangat mudah dijangkau, staff nya juga ramah, kamar nya luas, sesuai dengan harga.;
Azana Boutique Hotel Denpasar;8.5;Nyaman untuk beristirahat, sangat puas.;
Azana Boutique Hotel Denpasar;8.5;Harga bagus dan dekat pusat kota.;
Azana Boutique Hotel Denpasar;10;kamarnya bagus kalo malam nyaman seperti difoto. lokasi hotel sangat strategis;
Azana Boutique Hotel Denpasar;9.4;Kami menginap di sini selama 1 minggu, secara keseluruhan oke, stafnya juga ramah, kamarnya bersih dan nyaman, hanya ada sedikit kebocoran air di kamar mandi, tetapi itu tidak masalah. Sarapannya oke, hanya perlu sedikit variasi. Satu-satunya hal yang menurut saya perlu diperbaiki adalah kurangnya tempat sampah di area ruang bersama. Secara keseluruhan, sangat menyenangkan menginap di sini.;
Azana Boutique Hotel Denpasar;8.7;Saya sempat tertinggal pakaian dan saat mengambil hari berikutnya masih diamankan dengan baik. Sayangnya kebersihan dan kerapian tidak dijaga. Saat pertama masuk kamar ada kecoa kecil. Di kamar mandi kerak-kerak tidak dibersihkan, bagian lantai kamar mandi hitam-hitam. Selain itu tempat sabun juga sudah lepas. Di dekat area resto, ada area seperti gudang yang hanya ditutupi pembatas rotan.;
Azana Boutique Hotel Denpasar;8.5;Kebersihan kamar mandi lebih ditingkatkan.;
Azana Boutique Hotel Denpasar;6.2;Hotel lama. Anggap aja sesuai dengan harga.;
Azana Boutique Hotel Denpasar;8.5;Staff hotel sangat ramah dan fast respon.;
Azana Boutique Hotel Denpasar;10;Staff ramah menyenangkan, dan pasti-nya bikin balik lagi ke sini. Makanan-nya juga enak.;
Azana Boutique Hotel Denpasar;8.8;Lokasi pinggir jalan utama. Hotel lama, ada beberapa yang perlu dibenahi. Secara keseluruhan oke.;
Azana Boutique Hotel Denpasar;9.7;Kamarnya bagus, luas untuk harga segitu. Bersih, rapi, dan nyaman.;
Azana Boutique Hotel Denpasar;10;karena saya menginap di tempat ini, saya dapat merekomendasikan kepada siapa pun yang berkunjung ke Denpasar karena akomodasi ini menyediakan fasilitas lengkap dengan harga terjangkau.;
Azana Boutique Hotel Denpasar;8.8;Lokasi pinggir jalan besar. Hotel lama, kondisi masih bagus.;
Azana Boutique Hotel Denpasar;8.5;Stafnya ramah, hotel dengan harga terjangkau.;
Azana Boutique Hotel Denpasar;8.5;staff ramah; makanan enak. jarak hotel dekat dengan pusat kota.
Azana Boutique Hotel Denpasar;8.1;Selalu ada masalah dengan Sirkulasi Air.;
Azana Boutique Hotel Denpasar;9.4;Hotelnya sangat tenang dan nyaman;
The Cakra Hotel;10;staff ramah, hotel nyaman dan asri;
The Cakra Hotel;9.4;Lokasi strategi, kamar bersih.;
The Cakra Hotel;9.7;Harga terjangkau, fasilitas bagus, pelayanan ramah sekali, lingkungan bersih, bangunan kamar perlu di tingkatkan.;
The Cakra Hotel;9.1;Sangat memuaskan dan tempatnya nyaman saya suka.;
The Cakra Hotel;9.4;Tempat tenang dan terasa privacynya;
